Audit de sécurité - Problèmes détectés:
- Clé API trouvée dans test_dtypes_basic.py
- Clé API trouvée dans test_common_basic.py
- Clé API trouvée dans test_append.py
- Clé API trouvée dans test_constructors.py
- Clé API trouvée dans kwallet.py
- Appel système potentiellement dangereux dans hooks.py
- Appel système potentiellement dangereux dans interactiveshell.py
- Appel système potentiellement dangereux dans page.py
- Appel système potentiellement dangereux dans usage.py
- Clé API trouvée dans code.py
- Clé API trouvée dans test_paths.py
- Clé API trouvée dans test_profile.py
- Clé API trouvée dans qt_for_kernel.py
- Clé API trouvée dans embed.py
- Appel système potentiellement dangereux dans magics.py
- Appel système potentiellement dangereux dans _process_common.py
- Appel système potentiellement dangereux dans _process_win32.py
- Appel système potentiellement dangereux dans _process_win32_controller.py
- Appel système potentiellement dangereux dans terminal.py
- Clé API trouvée dans test_module_paths.py
- Clé API trouvée dans test_path.py
- Clé API trouvée dans base.py
- Clé API trouvée dans util.py
- Clé API trouvée dans __init__.py
- Clé API trouvée dans _asyncio.py
- Mot de passe en clair dans datastructures.py
- Mot de passe en clair dans url.py
- Clé API trouvée dans app_debug.py
- Mot de passe en clair dans general_hardcoded_password.py
- Appel système potentiellement dangereux dans injection_shell.py
- Clé API trouvée dans _single_threaded_agent_runtime.py
- Clé API trouvée dans __init__.py
- Clé API trouvée dans integration.py
- Clé API trouvée dans authorization_server.py
- Clé API trouvée dans authorization_server.py
- Clé API trouvée dans requests.py
- Clé API trouvée dans resource_protector.py
- Clé API trouvée dans _cli.py
- Clé API trouvée dans _fix.py
- Clé API trouvée dans pip.py
- Clé API trouvée dans requirement.py
- Clé API trouvée dans columns.py
- Clé API trouvée dans json.py
- Clé API trouvée dans markdown.py
- Clé API trouvée dans __init__.py
- Clé API trouvée dans interface.py
- Clé API trouvée dans pypi.py
- Clé API trouvée dans _base_chat_agent.py
- Clé API trouvée dans _task.py
- Clé API trouvée dans _base_group_chat.py
- Clé API trouvée dans _magentic_one_orchestrator.py
- Clé API trouvée dans _agent.py
- Clé API trouvée dans _task_runner_tool.py
- Clé API trouvée dans _team.py
- Clé API trouvée dans material_icon_names.py
- Mot de passe en clair dans snowflake_connection.py
- Mot de passe en clair dans sql_connection.py
- Clé API trouvée dans empty.py
- Clé API trouvée dans Skeleton_pb2.py
- Mot de passe en clair dans connection_factory.py
- Clé API trouvée dans runtime.py
- Clé API trouvée dans local_disk_cache_storage.py
- Clé API trouvée dans query_params.py
- Clé API trouvée dans query_params_proxy.py
- Clé API trouvée dans cache_storage_manager_config.py
- Mot de passe en clair dans test_audit_intelligent.py
- Appel système potentiellement dangereux dans test_audit_intelligent.py
- Mot de passe en clair dans test_security.py
- Clé API trouvée dans test_security.py
- Mot de passe en clair dans test_security_auditor_complete.py
- Clé API trouvée dans test_security_auditor_complete.py
- Appel système potentiellement dangereux dans test_security_auditor_complete.py
- Appel système potentiellement dangereux dans test_security_patterns.py
- Mot de passe en clair dans test_security_comprehensive.py
- Clé API trouvée dans test_security_comprehensive.py
- Appel système potentiellement dangereux dans test_security_comprehensive.py
- Appel système potentiellement dangereux dans test_security_validator.py
- Mot de passe en clair dans test_security_validator_complete.py
- Clé API trouvée dans test_security_validator_complete.py
- Appel système potentiellement dangereux dans test_security_validator_complete.py
- Appel système potentiellement dangereux dans security_auditor.py
- Appel système potentiellement dangereux dans security_validator.py
- Appel système potentiellement dangereux dans audit.py
